Date,ARIMA_Forecast,LSTM_Forecast,Prophet_Forecast,Prophet_Lower,Prophet_Upper,Ensemble_Average
2025-12-01,113344.42969066546,87119.586,118778.77162575843,114647.80426989649,122689.42586741215,106414.26241797463
2025-12-02,113344.42969066525,87379.74,118937.54255513362,114775.2285843379,123370.09590961823,106553.90481109962
2025-12-03,113344.4296906656,87642.6,118862.85853664739,114909.10808764544,123190.23242462428,106616.62992993766
2025-12-04,113344.42969066525,87872.555,119283.57528144865,115105.27407848102,123573.23349455917,106833.51988653796
2025-12-05,113344.42969066554,88059.04,119438.24574230843,115131.26853976508,123482.81946620959,106947.23816515798
2025-12-06,113344.42969066533,88205.39,119989.02630409237,115808.20386199896,124337.26814167832,107179.61553991924
2025-12-07,113344.42969066546,88321.16,120183.7074474489,116100.47591900777,124478.42478284739,107283.09779603813
2025-12-08,113344.42969066539,88417.14,120269.42139713891,116370.42049800041,124740.0064631248,107343.6639042681
2025-12-09,113344.42969066542,88503.11,120428.19232651425,116073.89566781018,124476.45014151686,107425.24379739322
2025-12-10,113344.4296906654,88586.63,120353.50830802757,116278.46455561384,124565.589555046,107428.19027039765
2025-12-11,113344.4296906654,88672.664,120774.22505282877,116359.45810825528,124977.60381047768,107597.10626866472
2025-12-12,113344.42969066542,88764.125,120928.8955136879,116530.25497731348,125341.28771399618,107679.15006811777
2025-12-13,113344.4296906654,88862.49,121479.67607547298,117130.98205953799,126281.3057973906,107895.53265121278
2025-12-14,113344.42969066542,88968.1,121674.35721882981,117210.22125687228,126514.10997458403,107995.62949066509
2025-12-15,113344.42969066542,89080.57,121760.07116851785,117317.08029617617,126240.77005048489,108061.69039056108
2025-12-16,113344.42969066542,89199.15,121918.84209789426,117316.89613477033,126501.14771773652,108154.14007535322
2025-12-17,113344.42969066542,89322.945,121844.15807940772,117313.37328315736,126278.87411606405,108170.51102752438
2025-12-18,113344.42969066542,89451.06,122264.87482420886,117642.8009136291,126578.37867142928,108353.45567162476
2025-12-19,113344.42969066542,89582.695,122419.54528506812,117698.95220859304,127186.88800122145,108448.89009607786
2025-12-20,113344.42969066542,89717.16,122970.32584685294,118229.35814790288,127291.59152948354,108677.30392917279
2025-12-21,113344.42969066542,89853.91,123165.0069902092,118772.260660327,128283.33093233481,108787.78097695821
2025-12-22,113344.42969066542,89992.414,123250.72093989834,118246.47757305062,127938.49503378241,108862.52156435458
2025-12-23,113344.42969066542,90132.2,123409.4918692743,118295.66028335143,128299.05140956017,108962.04156164658
2025-12-24,113344.42969066542,90272.94,123334.8078507879,117941.32787758998,128521.39331452151,108984.0583471511
2025-12-25,113344.42969066542,90414.305,123755.52459558885,118263.19332713723,129138.07248053688,109171.41965791809
2025-12-26,113344.42969066542,90556.01,123910.19505644876,117983.0177455579,129036.67845620395,109270.21085320473
2025-12-27,113344.42969066542,90697.85,124460.9756182329,119314.63893684174,129671.47366706912,109501.08562379943
2025-12-28,113344.42969066542,90839.62,124655.6567615895,119200.46971892886,129967.54060788316,109613.23454658496
2025-12-29,113344.42969066542,90981.1,124741.37071127878,118920.36272157764,130463.8977322122,109688.9673214814
2025-12-30,113344.42969066542,91122.09,124900.14164065373,119571.63010792217,130296.19693781935,109788.88836043973
